1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5000000034EF0341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Fri Feb 27 08:51:01 CET 2015
Mission Sample Count:  234
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Feb 27 08:51:01 CET 2015
Total Mission Samples:  234
Total Device Samples:  13138
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/02/15 11:31:01,C,30,924
27/02/15 11:32:01,C,30,924
27/02/15 11:33:01,C,30,862
27/02/15 11:34:01,C,30,799
27/02/15 11:35:01,C,30,799
27/02/15 11:36:01,C,30,799
27/02/15 11:37:01,C,30,924
27/02/15 11:38:01,C,30,987
27/02/15 11:39:01,C,31,111
27/02/15 11:40:01,C,31,236
27/02/15 11:41:01,C,31,174
27/02/15 11:42:01,C,31,111
27/02/15 11:43:01,C,30,987
27/02/15 11:44:01,C,30,924
27/02/15 11:45:01,C,30,799
27/02/15 11:46:01,C,30,674
27/02/15 11:47:01,C,30,674
27/02/15 11:48:01,C,30,612
27/02/15 11:49:01,C,30,674
27/02/15 11:50:01,C,30,737
27/02/15 11:51:01,C,30,799
27/02/15 11:52:01,C,30,799
27/02/15 11:53:01,C,30,737
27/02/15 11:54:01,C,30,674
27/02/15 11:55:01,C,30,674
27/02/15 11:56:01,C,30,674
27/02/15 11:57:01,C,30,612
27/02/15 11:58:01,C,30,799
27/02/15 11:59:01,C,30,862
27/02/15 12:00:01,C,30,862
27/02/15 12:01:01,C,30,987
27/02/15 12:02:01,C,31,111
27/02/15 12:03:01,C,31,174
27/02/15 12:04:01,C,31,236
27/02/15 12:05:01,C,31,299
27/02/15 12:06:01,C,31,299
27/02/15 12:07:01,C,31,236
27/02/15 12:08:01,C,31,111
27/02/15 12:09:01,C,31,049
27/02/15 12:10:01,C,30,924
27/02/15 12:11:01,C,30,924
27/02/15 12:12:01,C,30,924
27/02/15 12:13:01,C,30,862
27/02/15 12:14:01,C,30,862
27/02/15 12:15:01,C,30,737
27/02/15 12:16:01,C,30,799
27/02/15 12:17:01,C,30,799
27/02/15 12:18:01,C,30,799
27/02/15 12:19:01,C,30,674
27/02/15 12:20:01,C,30,674
27/02/15 12:21:01,C,30,674
27/02/15 12:22:01,C,30,674
27/02/15 12:23:01,C,30,674
27/02/15 12:24:01,C,30,737
27/02/15 12:25:01,C,30,737
27/02/15 12:26:01,C,30,612
27/02/15 12:27:01,C,30,487
27/02/15 12:28:01,C,30,3
27/02/15 12:29:01,C,30,113
27/02/15 12:30:01,C,27,177
27/02/15 12:31:01,C,24,053
27/02/15 12:32:01,C,22,927
27/02/15 12:33:01,C,22,115
27/02/15 12:34:01,C,21,364
27/02/15 12:35:01,C,20,801
27/02/15 12:36:01,C,20,176
27/02/15 12:37:01,C,19,675
27/02/15 12:38:01,C,19,3
27/02/15 12:39:01,C,19,05
27/02/15 12:40:01,C,18,924
27/02/15 12:41:01,C,18,862
27/02/15 12:42:01,C,18,862
27/02/15 12:43:01,C,18,737
27/02/15 12:44:01,C,18,674
